,coefficient,words,model
78,9.739374475849674,18,SVR
79,9.73559435537041,name,SVR
80,9.722601986573855,sense,SVR
81,9.684155160523442,happens,SVR
82,9.6281862296617,amazing,SVR
83,9.620600301299069,able,SVR
84,9.614709205428404,does,SVR
85,9.550195642417297,although,SVR
86,9.486813526872606,pain,SVR
87,9.463657915600995,comment,SVR
88,9.43944219421089,bc,SVR
89,9.386507384017879,medical,SVR
90,9.326974491656374,dogs,SVR
91,9.312275198420998,possible,SVR
92,9.27184546452697,above,SVR
93,9.192033646295837,act,SVR
94,9.14470061256494,is,SVR
95,9.100598032390739,calling,SVR
96,9.088851934345858,happened,SVR
97,9.024197817311663,fat,SVR
98,8.968470159106008,living,SVR
99,8.91909206762955,kind,SVR
0,52.87560391135797,wasnt,LinearRegression
1,47.920652395652475,places,LinearRegression
2,40.51353056731409,reasons,LinearRegression
3,40.13172949259997,human,LinearRegression
4,39.7764029387427,high,LinearRegression
5,38.92055882791553,view,LinearRegression
6,37.65978662454591,fuck,LinearRegression
7,36.20860860728223,general,LinearRegression
8,36.069802557152514,suggest,LinearRegression
9,34.73048850778882,cost,LinearRegression
10,32.55010070735962,based,LinearRegression
11,31.518947244118287,respect,LinearRegression
12,31.420103572568348,calling,LinearRegression
13,30.98854615342171,away,LinearRegression
14,30.750322486044624,truly,LinearRegression
15,30.221568029338982,girl,LinearRegression
16,29.405727868507288,anything,LinearRegression
17,29.326480324611765,currently,LinearRegression
18,29.2707553001628,move,LinearRegression
19,28.87372634401084,term,LinearRegression
20,28.369333210589637,poor,LinearRegression
21,28.34195249512773,forget,LinearRegression
22,28.24689970844718,la,LinearRegression
23,28.07761008268626,check,LinearRegression
24,27.883578454986225,ask,LinearRegression
25,27.352154733100363,daughter,LinearRegression
26,27.247675204337146,eventually,LinearRegression
27,27.16204154022752,is,LinearRegression
28,27.156065710373685,health,LinearRegression
29,27.001624095333387,stop,LinearRegression
30,26.67176718038401,blood,LinearRegression
31,26.608549196923043,mother,LinearRegression
32,26.138069918659188,gave,LinearRegression
33,26.034942078640814,hit,LinearRegression
34,25.995855091475374,often,LinearRegression
35,25.5729004006459,does,LinearRegression
36,25.316774525464275,50,LinearRegression
37,25.176551767266695,amount,LinearRegression
38,25.119102180544488,video,LinearRegression
39,24.942722239549294,40,LinearRegression
40,24.709832211405466,super,LinearRegression
41,24.662942426936734,realize,LinearRegression
42,24.272205289702036,leave,LinearRegression
43,23.775203527661994,pain,LinearRegression
44,23.636120541601013,lose,LinearRegression
45,23.389545764957482,sense,LinearRegression
46,23.28091141744331,entire,LinearRegression
47,23.214356538615057,to,LinearRegression
48,23.171192379881973,me,LinearRegression
49,23.168587332719028,18,LinearRegression
50,22.743233166046526,lets,LinearRegression
51,22.58796667895085,non,LinearRegression
52,22.486044727102538,very,LinearRegression
53,22.347624643898044,lot,LinearRegression
54,22.237805684230416,body,LinearRegression
55,22.056750890550944,meant,LinearRegression
56,21.917107300810127,or,LinearRegression
57,21.85930181874906,turn,LinearRegression
58,21.761367827141157,actually,LinearRegression
59,21.657542337905046,wanted,LinearRegression
60,21.27381315660547,able,LinearRegression
61,21.222201576494097,legal,LinearRegression
62,21.15701494524918,pretty,LinearRegression
63,21.08626125092796,comes,LinearRegression
64,21.058503202971036,taking,LinearRegression
65,21.045262549051365,longer,LinearRegression
66,21.031323536186918,two,LinearRegression
67,20.99069361771255,dogs,LinearRegression
68,20.964435104406135,should,LinearRegression
69,20.94057119163062,coming,LinearRegression
70,20.599226205484456,hours,LinearRegression
71,20.414438695664884,his,LinearRegression
72,20.41154479917778,fucked,LinearRegression
73,20.142812692244508,bought,LinearRegression
74,20.08398141658452,energy,LinearRegression
75,19.965643537963928,interest,LinearRegression
76,19.940809537969475,along,LinearRegression
77,19.756198316438944,eye,LinearRegression
78,19.754476486605284,city,LinearRegression
79,19.600642252048857,higher,LinearRegression
80,19.514797132433245,cold,LinearRegression
81,19.462867751381104,fat,LinearRegression
82,19.41749368500735,happens,LinearRegression
83,19.182387783080028,mind,LinearRegression
84,19.16840959217691,sad,LinearRegression
85,19.02383378105973,fight,LinearRegression
86,18.99513155950648,comment,LinearRegression
87,18.994432265290165,consider,LinearRegression
88,18.927419956018905,multiple,LinearRegression
89,18.747638555170028,an,LinearRegression
90,18.73072933277587,season,LinearRegression
91,18.56564712380113,man,LinearRegression
92,18.521838616684093,myself,LinearRegression
93,18.516864399606646,sent,LinearRegression
94,18.439531102644683,edit,LinearRegression
95,18.37902268140451,small,LinearRegression
96,18.241012789937376,reason,LinearRegression
97,18.159758927601267,couple,LinearRegression
98,18.10310198170875,damage,LinearRegression
99,18.063665468425377,major,LinearRegression
